date,price
2024-01-14,6.072127902657534e-06
2024-01-15,5.817738964731039e-06
2024-01-16,5.8656467898614516e-06
2024-01-17,6.108511621684255e-06
2024-01-18,5.960844439356903e-06
2024-01-19,5.6238216279288996e-06
2024-01-20,5.6169521616212235e-06
2024-01-21,5.747828435546186e-06
2024-01-22,5.545054755723927e-06
2024-01-23,5.260534729197803e-06
2024-01-24,5.1431997926624766e-06
2024-01-25,5.135660145414645e-06
2024-01-26,5.0466563386972e-06
2024-01-27,5.3393623800672125e-06
2024-01-28,5.389294682278487e-06
2024-01-29,5.236634026346944e-06
2024-01-30,5.262883772079137e-06
2024-01-31,5.018274429199838e-06
2024-02-01,4.525245278287884e-06
2024-02-02,4.501952204298643e-06
2024-02-03,4.60893388579363e-06
2024-02-04,4.597754758514026e-06
2024-02-05,4.417260851671737e-06
2024-02-06,4.469412988899312e-06
2024-02-07,4.481198697349308e-06
2024-02-08,4.787753398068524e-06
2024-02-09,4.781532526209431e-06
2024-02-10,5.032481561556447e-06
2024-02-11,5.025799821899017e-06
2024-02-12,4.972081539870493e-06
2024-02-13,5.331397041548141e-06
2024-02-14,5.369521065994225e-06
2024-02-15,6.168454394881765e-06
2024-02-16,6.182536291605111e-06
2024-02-17,5.792925404057551e-06
2024-02-18,5.894395549817197e-06
2024-02-19,6.078519916918617e-06
2024-02-20,6.109624408191544e-06
2024-02-21,5.8832819697385214e-06
2024-02-22,5.6800248837379355e-06
2024-02-23,6.057904007224312e-06
2024-02-24,5.997846554920209e-06
2024-02-25,6.540097410807873e-06
2024-02-26,6.882762856093342e-06
2024-02-27,8.974146255143466e-06
2024-02-28,1.3033952477405587e-05
2024-02-29,1.565451171266401e-05
2024-03-01,1.3586603443992854e-05
2024-03-02,1.9609929232808807e-05
2024-03-03,2.172794924127214e-05
2024-03-04,2.9133791206817146e-05
2024-03-05,3.488888565022871e-05
2024-03-06,3.1815322396318144e-05
2024-03-07,3.583236789150188e-05
2024-03-08,3.3576307872397855e-05
2024-03-09,4.538866094860822e-05
2024-03-10,4.397121069124346e-05
